Номер очепятки	Строка	Столбец	Описание
1	26	Source / Derivation	Вместо AE.AENDT должно быть AE.AEENDTC
2	19	Source / Derivation	Вместо AE.TERM должно быть AE.AETERM
3	12	Variable name	Вместо AREPIOD, вероятно, должно быть APERIOD
4	20-21	Source / Derivation	Кажется, что часть описания AE.AEDECOD уехало в описание AEBODSYS
5	24	Source / Derivation	Нет описания того, что представляет из себя пропущенный элемент даты (NA, пустое поле, прочерк, другая форма записи); также не указано, каким должно быть значение, в случае, если все поля в дате на месте (NA, пустое поле и т.п.)
6	34	Codelist / Controlled Terms 	В исходнике Легкое, Среднее, Тяжелое
7	35	Source / Derivation	В исходнике Легкое, Среднее, Тяжелое
8	37	Source / Derivation	ОСТОРОЖНО, ДУШНОСТЬ: после "'Не классифицируемая' = 6" отсутствует запятая
9	40-42		ОСТОРОЖНО, ДУШНОСТЬ: "Неприменимо" и "Неизвестно" в данном контексте пишется слитно
10	14	Codelist	Отсутствует значение Y в списке значений
11	16-17	Source / Derivation	Отличаются символы равенства в 16 и 17 строках -- единичное и двойное равно соответственно
12	16	Source / Derivation	Снова появляется AREPIOD
13	17	Source / Derivation	Снова появляется AREPIOD
14	24, 27	Variable Type	Не указан тип переменной (текст)
